Address,Case Number,Crime Against,Measure Names,Neighborhood,Occur Date,Occur Time,Offense Category,Offense Type,Offense Count
600 BLOCK OF SW WHITAKER ST,17-909683,Property,No Measure Value,South Portland,07/01/17,2040,Larceny Offenses,All Other Larceny,1
5800 BLOCK OF SW HOOD AVE,17-909906,Property,No Measure Value,South Portland,06/23/17,1730,Larceny Offenses,Theft From Motor Vehicle,1
2500 BLOCK OF SW 1ST AVE,17-909936,Property,No Measure Value,South Portland,07/11/17,1125,Fraud Offenses,Identity Theft,1
2500 BLOCK OF SW 1ST AVE,17-909936,Property,No Measure Value,South Portland,07/11/17,1125,Larceny Offenses,All Other Larceny,1
3700 BLOCK OF SW BOND AVE,17-910005,Property,No Measure Value,South Portland,07/02/17,1220,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1
3700 BLOCK OF SW BOND AVE,17-910005,Property,No Measure Value,South Portland,07/02/17,1220,Fraud Offenses,Identity Theft,1
500 BLOCK OF SW CALIFORNIA ST,17-910034,Property,No Measure Value,South Portland,07/11/17,100,Larceny Offenses,Theft From Motor Vehicle,1
500 BLOCK OF SW CARUTHERS ST,17-910106,Property,No Measure Value,South Portland,07/14/17,0,Larceny Offenses,Theft From Motor Vehicle,1
0 BLOCK OF SW PORTER ST,17-910219,Property,No Measure Value,South Portland,10/02/16,1615,Larceny Offenses,Theft From Motor Vehicle,1
100 BLOCK OF SW ARTHUR ST,17-910279,Property,No Measure Value,South Portland,07/17/17,1700,Larceny Offenses,All Other Larceny,1
SW 3RD AVE / SW ARTHUR ST,17-910404,Property,No Measure Value,South Portland,07/18/17,2045,Larceny Offenses,Theft From Motor Vehicle,1
5800 BLOCK OF SW KELLY AVE,17-910450,Property,No Measure Value,South Portland,07/18/17,1308,Larceny Offenses,All Other Larceny,1
5000 BLOCK OF SW SLAVIN RD,17-910548,Property,No Measure Value,South Portland,07/22/17,100,Larceny Offenses,Theft From Motor Vehicle,1
0 BLOCK OF SW RICHARDSON ST,17-910595,Property,No Measure Value,South Portland,10/24/16,1815,Fraud Offenses,Identity Theft,1
3300 BLOCK OF SW CORBETT AVE,17-910644,Property,No Measure Value,South Portland,07/24/17,2000,Larceny Offenses,Theft From Motor Vehicle,1
200 BLOCK OF SW MEADE ST,17-910655,Property,No Measure Value,South Portland,07/23/17,2200,Larceny Offenses,Theft From Motor Vehicle,1
2700 BLOCK OF SW 3RD AVE,17-910750,Property,No Measure Value,South Portland,07/27/17,900,Vandalism,Vandalism,1
5800 BLOCK OF SW RIVERIDGE LN,17-910766,Property,No Measure Value,South Portland,07/01/16,0,Larceny Offenses,All Other Larceny,1
100 BLOCK OF SW WHITAKER ST,17-910813,Property,No Measure Value,South Portland,07/28/17,300,Vandalism,Vandalism,1
3300 BLOCK OF SW 1ST AVE,17-910814,Property,No Measure Value,South Portland,07/28/17,305,Vandalism,Vandalism,1
500 BLOCK OF SW CARUTHERS ST,17-911109,Property,No Measure Value,South Portland,08/02/17,0,Larceny Offenses,Theft From Motor Vehicle,1
7500 BLOCK OF SW MILES PL,17-911227,Property,No Measure Value,South Portland,08/03/17,1900,Larceny Offenses,Theft From Motor Vehicle,1
5500 BLOCK OF SW CORBETT AVE,17-911234,Property,No Measure Value,South Portland,08/04/17,200,Larceny Offenses,Theft From Motor Vehicle,1
5100 BLOCK OF SW VIEW POINT TER,17-911264,Property,No Measure Value,South Portland,08/04/17,300,Larceny Offenses,Theft From Motor Vehicle,1
800 BLOCK OF SW GAINES ST,17-911389,Property,No Measure Value,South Portland,08/05/17,800,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1
4900 BLOCK OF SW CORBETT AVE,17-911502,Property,No Measure Value,South Portland,08/07/17,1200,Larceny Offenses,Theft From Motor Vehicle,1
